Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2023-03-29,39,1307.7499927282333,1889.6713053384071,5.0,5,0.5206999715105288,1.2360869627550874,0.29136637712656854,3070,,,,,,,
2023-03-30,139,1307.7499927282333,6354.222330470044,22.0,22,0.46357579781096336,1.7880105144716292,0.26119019911515723,10362,,,,,,,
2023-03-31,138,1307.7499927282333,6333.185456617027,38.0,38,0.5687582717723026,1.4289146328301272,0.2511779113160074,10010,,,,,,,
2023-04-01,126,1390.4190945827565,5851.475456502047,38.0,38,0.5736188126706575,1.3101865569207363,0.2612250277686477,9587,,,,,2168839,,
2023-04-02,29,1307.7499927282333,942.2185809286069,,,0.31011143945952474,0.7905927845077864,0.2813192606739283,1748,,,,,,,
2023-04-03,140,1307.7499927282333,6563.567283660788,32.0,32,0.43636369994362906,1.321593892597054,0.2511779113160074,10740,,,,,,,
2023-04-04,102,1307.7499927282333,4174.843607073441,4.0,4,0.3946209882187998,1.1417360875764404,0.2511779113160074,7064,,,,,,,
2023-04-05,161,1307.7499927282333,6752.990166746398,22.0,22,0.553590129251745,1.6461882268687609,0.2511779113160074,11115,,,,,,,
2023-04-06,105,1307.749992728233,5084.145457504043,28.0,28,0.4432888335896852,1.372074356707206,0.2612250277686477,8497,,,,,,,
2023-04-07,11,1307.7499927282333,628.7131121870316,,,0.31216904954070485,0.8755089053216945,0.271272144221288,1282,,,,,,,
2023-04-08,33,1307.7499927282333,1379.2544978575918,,,0.3201781005419669,1.095554163375689,0.24973019375484345,2563,,,,,,,
2023-04-09,17,1307.7499927282333,524.4594788278234,,,0.3941382840216629,0.7961167213701462,0.2813192606739283,1152,,,,,,,
2023-04-10,156,1307.7499927282333,6505.677518793187,24.0,24,0.40896914793025524,1.60920980886286,0.2511779113160074,10856,,,,,,,
2023-04-11,126,1307.7499927282333,5115.2546571226385,11.0,11,0.4391653094330818,1.2998028858552026,0.2511779113160074,8753,,,,,,,
2023-04-12,81,1307.7499927282333,3543.089773570814,20.0,20,0.38977203110855163,1.328240063623485,0.2511779113160074,5750,,,,,,,
2023-04-13,92,1329.2092088064726,4008.382095096531,13.0,13,0.3853149289124465,1.1929306429138622,0.2511779113160074,6549,,,,,562987,,
2023-04-14,108,1307.7499927282333,4525.67639405784,8.0,8,0.4040798322082077,1.5391404251120044,0.29136637712656854,7406,,,,,,,
2023-04-15,35,1307.7499927282333,1108.3257340767739,,,0.3501337791210767,1.0222462960666225,0.3014134728491599,1917,,,,,,,
2023-04-16,30,1307.749992728233,1127.0666892529916,,,0.39768709111784206,0.9605352359193637,0.3014134643828344,1926,,,,,,,
2023-04-17,40,1330.9696317259868,1559.5888255362897,3.0,3,0.38444747543169466,1.247407509906001,0.2813192606739283,2605,,,,,609171,,
2023-04-18,38,1307.7499927282333,1709.2252690450573,10.0,10,0.3501357549648075,1.4733419884104044,0.2612250277686477,2868,,,,,,,
2023-04-19,38,1307.7499927282333,1703.92837014596,7.0,7,0.43263762428909763,1.4374180328534951,0.271272144221288,2778,,,,,,,
2023-04-20,86,1307.7499927282333,3779.2643834268833,12.0,12,0.38888220382946775,1.21623641790799,0.2612250277686477,6363,,,,,,,
2023-04-21,166,1367.8502785304447,8064.573187914795,51.0,51,0.6370763886690576,1.5356624506505783,0.2612250277686477,12733,,,,,1576741,,
2023-04-22,19,1307.7499927282333,710.0282778680554,,,0.3477918606663639,0.6997991652765684,0.2511779113160074,1467,,,,,,,
2023-04-23,8,1331.1235403326602,292.37108877183266,,,0.41152853240840465,0.7104413963602902,0.2813192606739283,581,,,,,613209,,
2023-04-24,116,1524.6494870629274,6109.953114740206,44.0,44,0.5290077947900267,1.6466353546395274,0.26063220668940135,9694,,,,,5690397,,
2023-04-25,60,1416.0415133303109,2554.8584373119306,11.0,11,0.4231434021044234,1.2525069799331503,0.2511779113160074,4401,,,,,2841045,,
2023-04-26,56,1432.4366838722954,2312.9063536174326,10.0,10,0.5437981732476491,1.3385365112616183,0.2813192606739283,3792,,,,,3271175,,
2023-04-27,,1307.7499927282333,,,,,,,11,,,,,,,
2023-04-28,78,1460.2633748498429,4183.130307192827,29.0,29,0.7167366389593908,1.3711176667142932,0.29136637712656854,6656,,,,,4001214,,
2023-04-29,10,1339.3739631583364,403.9202873508614,,,0.5181359987102385,1.2791560951830636,0.30026360946514613,696,,,,,829660,,
2023-04-30,30,1379.9062070127568,1204.479544920228,,,0.38603103101284286,1.2159611032813529,0.24955752047128069,2167,,,,,1893030,,
2023-05-01,28,1380.9065238839016,1145.4706831780372,,,0.3886807945509625,1.4541746545841756,0.2511779113160074,2243,,,,,1919273,,
2023-05-02,60,1440.1461190197547,2991.8839071388725,11.0,11,0.5704898887590577,1.4100562985034888,0.2813192606739283,4876,,,,,3473434,,
2023-05-03,204,1723.57123993428,9997.798594409433,13.0,13,0.6446252563920357,1.4341830826614983,0.24979017714662394,16168,,,,,10909140,,
2023-05-04,59,1437.3845381805945,2503.0894234577013,7.0,7,0.5041112667107989,1.4538070247551451,0.25087924554749846,4245,,,,,3400983,,
2023-05-05,70,1466.3186258590226,3626.714141457419,18.0,18,0.6355968918261079,1.282472296058313,0.2511779113160074,6221,,,,,4160073,,
2023-05-06,11,1307.7499927282333,377.97252094832794,,,0.4321447481554327,0.6911392252160524,0.28368326477914735,740,,,,,,,
2023-05-07,29,1338.3371205009075,1034.7334247885037,,,0.49841319994812644,1.2020683592304215,0.2511779113160074,1961,,,,,802457,,
2023-05-08,111,1515.3712928275384,5879.251587732606,49.0,49,0.6042174758071436,1.341091825218437,0.2511779113160074,9220,,,,,5446980,,
2023-05-09,68,1441.2817207547293,3031.604196319095,10.0,10,0.5919725998947505,1.4489405339858736,0.2813192606739283,4960,,,,,3503227,,
2023-05-10,69,1403.091803596313,2885.5636283001563,15.0,15,0.45968648589514416,1.351834007313223,0.2511779113160074,4749,,,,,2501309,,
2023-05-11,39,1360.0590225125,1522.8413889545766,4.0,4,0.3487725158616514,1.3420067130670577,0.3014134663456157,2440,,,,,1372336,,
2023-05-12,40,1374.7370581780033,1964.637239852393,15.0,15,0.6238101764774876,1.1977017616463659,0.27796753397847695,3238,,,,,1757415,,
2023-05-13,96,1499.3540002444167,4067.3333702441105,53.0,53,0.5512114815130955,1.5817954621318084,0.271272144221288,6645,,,,1355030,3572096,,
2023-05-14,84,1378.2474578404917,2860.5654040410654,,,0.4907794358217177,1.3704523544868772,0.2511779113160074,5337,,,,,1849513,,
2023-05-15,118,1553.8712579535975,5330.684384895086,65.0,65,0.5348952703910929,1.7714446810180031,0.2511779113160074,8230,,,,1348020,5004707,,
2023-05-16,133,1581.6212771979008,6972.140376824586,41.0,41,0.587703425770801,1.3605389775960786,0.30141347003830604,11181,,,,,7185059,,
2023-05-17,66,1426.7262087751808,2994.0076765203758,10.0,10,0.5341856986670479,1.7076768034095755,0.2612250277686477,4972,,,,,3121361,,
2023-05-18,51,1364.7522474839998,1959.332908093011,7.0,7,0.496047101255528,1.278683040741592,0.2511779113160074,3218,,,,,1495464,,
2023-05-19,91,1468.7459311897314,4694.147182934696,34.0,33,0.7372499423309903,1.7080908826074224,0.2650765416124955,7547,,,,,4220188,,
2023-05-20,30,1367.0343828528125,1267.9382655527954,,,0.4240782181695988,1.131411892667461,0.2612250277686477,2649,,,,,1555336,,
